Anno,1996
Small Narrowbodies,2244.0
(Ex Fuel),1646.0
Pilots,549.0
Salaries and Wages,410.0
Pilot Training,20.0
Benefits and Payroll Taxes,76.0
Per Diem/ Personnel,43.0
Purchased Goods,693.0
Fuel/Oil,598.0
Insurance,5.0
Other (inc. Tax),90.0
Maintenance,588.0
Labor,123.0
Materials,100.0
Third Party,29.0
Total Direct,252.0
Burden,335.0
Aircraft Ownership,411.0
Rentals,288.0
Depreciation and Amortization,123.0
Other,3.0
Aircraft In Fleet,332.0
Seats Per Departure,128.0
Average Stage Length,716.0
Gallons of Fuel Per Block Hour,932.0
Load Factor,1.0
Block Hours,9.0
Airborne Hours,8.0
Departures,5.0
Large Narrowbodies,2886.0
(Ex Fuel),2209.0
Pilots,678.0
Salaries and Wages,517.0
Pilot Training,22.0
Benefits and Payroll Taxes,97.0
Per Diem/ Personnel,41.0
Purchased Goods,784.0
Fuel/Oil,677.0
Insurance,11.0
Other (inc. Tax),96.0
Maintenance,652.0
Labor,121.0
Materials,128.0
Third Party,45.0
Total Direct,294.0
Burden,358.0
Aircraft Ownership,769.0
Rentals,523.0
Depreciation and Amortization,246.0
Other,4.0
Aircraft In Fleet,90.0
Seats Per Departure,188.0
Average Stage Length,1410.0
Gallons of Fuel Per Block Hour,1053.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,3.0
Widebodies,5424.0
(Ex Fuel),3713.0
Pilots,1102.0
Salaries and Wages,858.0
Pilot Training,31.0
Benefits and Payroll Taxes,159.0
Per Diem/ Personnel,53.0
Purchased Goods,1788.0
Fuel/Oil,1711.0
Insurance,15.0
Other (inc. Tax),63.0
Maintenance,1176.0
Labor,222.0
Materials,246.0
Third Party,165.0
Total Direct,632.0
Burden,543.0
Aircraft Ownership,1344.0
Rentals,759.0
Depreciation and Amortization,585.0
Other,14.0
Aircraft In Fleet,139.0
Seats Per Departure,298.0
Average Stage Length,2746.0
Gallons of Fuel Per Block Hour,2492.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,2.0
Total Fleet,3238.0
(Ex Fuel),2317.0
Pilots,724.0
Salaries and Wages,553.0
Pilot Training,23.0
Benefits and Payroll Taxes,103.0
