Anno,1997
Small Narrowbodies,2334.0
(Ex Fuel),1757.0
Pilots,576.0
Salaries and Wages,444.0
Pilot Training,21.0
Benefits and Payroll Taxes,67.0
Per Diem/ Personnel,45.0
Purchased Goods,665.0
Fuel/Oil,578.0
Insurance,4.0
Other (inc. Tax),84.0
Maintenance,696.0
Labor,126.0
Materials,124.0
Third Party,65.0
Total Direct,315.0
Burden,381.0
Aircraft Ownership,387.0
Rentals,282.0
Depreciation and Amortization,105.0
Other,9.0
Aircraft In Fleet,332.0
Seats Per Departure,128.0
Average Stage Length,721.0
Gallons of Fuel Per Block Hour,923.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,8.0
Departures,5.0
Large Narrowbodies,3022.0
(Ex Fuel),2363.0
Pilots,744.0
Salaries and Wages,583.0
Pilot Training,26.0
Benefits and Payroll Taxes,91.0
Per Diem/ Personnel,45.0
Purchased Goods,756.0
Fuel/Oil,659.0
Insurance,7.0
Other (inc. Tax),90.0
Maintenance,775.0
Labor,129.0
Materials,175.0
Third Party,60.0
Total Direct,364.0
Burden,411.0
Aircraft Ownership,737.0
Rentals,506.0
Depreciation and Amortization,231.0
Other,10.0
Aircraft In Fleet,92.0
Seats Per Departure,188.0
Average Stage Length,1401.0
Gallons of Fuel Per Block Hour,1053.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,3.0
Widebodies,5376.0
(Ex Fuel),3768.0
Pilots,1231.0
Salaries and Wages,990.0
Pilot Training,35.0
Benefits and Payroll Taxes,149.0
Per Diem/ Personnel,57.0
Purchased Goods,1683.0
Fuel/Oil,1608.0
Insurance,12.0
Other (inc. Tax),63.0
Maintenance,1225.0
Labor,197.0
Materials,228.0
Third Party,250.0
Total Direct,674.0
Burden,550.0
Aircraft Ownership,1215.0
Rentals,696.0
Depreciation and Amortization,519.0
Other,21.0
Aircraft In Fleet,145.0
Seats Per Departure,294.0
Average Stage Length,2800.0
Gallons of Fuel Per Block Hour,2460.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,2.0
Total Fleet,3319.0
(Ex Fuel),2434.0
Pilots,792.0
Salaries and Wages,623.0
Pilot Training,26.0
Benefits and Payroll Taxes,95.0
Per Diem/ Personnel,48.0
Purchased Goods,970.0
Fuel/Oil,885.0
Insurance,7.0
Other (inc. Tax),79.0
Maintenance,860.0
Labor,147.0
Materials,162.0
Third Party,117.0
Total Direct,426.0
