Anno,1998
Small Narrowbodies,2311.0
(Ex Fuel),1822.0
Pilots,595.0
Salaries and Wages,439.0
Pilot Training,19.0
Benefits and Payroll Taxes,91.0
Per Diem/ Personnel,46.0
Purchased Goods,572.0
Fuel/Oil,489.0
Insurance,2.0
Other (inc. Tax),80.0
Maintenance,737.0
Labor,129.0
Materials,148.0
Third Party,96.0
Total Direct,370.0
Burden,367.0
Aircraft Ownership,396.0
Rentals,273.0
Depreciation and Amortization,123.0
Other,12.0
Aircraft In Fleet,325.0
Seats Per Departure,131.0
Average Stage Length,742.0
Gallons of Fuel Per Block Hour,913.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,8.0
Departures,5.0
Large Narrowbodies,2755.0
(Ex Fuel),2193.0
Pilots,720.0
Salaries and Wages,539.0
Pilot Training,20.0
Benefits and Payroll Taxes,114.0
Per Diem/ Personnel,46.0
Purchased Goods,650.0
Fuel/Oil,562.0
Insurance,4.0
Other (inc. Tax),84.0
Maintenance,711.0
Labor,126.0
Materials,126.0
Third Party,68.0
Total Direct,320.0
Burden,391.0
Aircraft Ownership,661.0
Rentals,402.0
Depreciation and Amortization,259.0
Other,13.0
Aircraft In Fleet,96.0
Seats Per Departure,188.0
Average Stage Length,1311.0
Gallons of Fuel Per Block Hour,1050.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,4.0
Widebodies,4948.0
(Ex Fuel),3663.0
Pilots,1274.0
Salaries and Wages,980.0
Pilot Training,32.0
Benefits and Payroll Taxes,204.0
Per Diem/ Personnel,58.0
Purchased Goods,1356.0
Fuel/Oil,1285.0
Insurance,9.0
Other (inc. Tax),63.0
Maintenance,1159.0
Labor,206.0
Materials,194.0
Third Party,240.0
Total Direct,618.0
Burden,541.0
Aircraft Ownership,1140.0
Rentals,644.0
Depreciation and Amortization,496.0
Other,19.0
Aircraft In Fleet,153.0
Seats Per Departure,284.0
Average Stage Length,2783.0
Gallons of Fuel Per Block Hour,2385.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,11.0
Departures,2.0
Total Fleet,3169.0
(Ex Fuel),2432.0
Pilots,818.0
Salaries and Wages,616.0
Pilot Training,23.0
Benefits and Payroll Taxes,128.0
Per Diem/ Personnel,50.0
Purchased Goods,817.0
Fuel/Oil,737.0
Insurance,5.0
Other (inc. Tax),76.0
Maintenance,857.0
Labor,151.0
Materials,158.0
Third Party,133.0
Total Direct,434.0
Burden,423.0
Aircraft Ownership,663.0
Rentals,405.0
Depreciation and Amortization,258.0
Other,14.0
Aircraft In Fleet,573.0
Seats Per Departure,195.0
Average Stage Length,1115.0
Gallons of Fuel Per Block Hour,1372.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,9.0
Departures,4.0
Small Narrowbodies,2679390.0
Pilots (000),689224.0
Salaries and Wages (000),508323.0
Pilot Training (000),22037.0
Benefits and Payroll Taxes (000),105045.0
Per Diem/ Personnel (000),53819.0
Purchased Goods (000),662520.0
Fuel/Oil (000),567226.0
Insurance (000),2560.0
Other (inc. Tax) (000),92734.0
Maintenance (000),854160.0
Labor (000),149664.0
Materials (000),171557.0
Third Party (000),110889.0
Total Direct (000),428600.0
Burden (000),425560.0
Aircraft Ownership (000),459125.0
Rentals (000),316320.0
Depreciation and Amortization (000),142805.0
Other (000),14361.0
Aircraft In Fleet,325.0
Seats Per Departure,131.0
Average Stage Length,742.0
Gallons of Fuel Per Block Hour,913.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,8.0
Departures,5.0
Block Hours,1159225.0
Airborne Hours,968411.0
Departures,565457.0
RPMs,3.8499368E10
ASMs,5.4894989E10
Miles,4.1976463E8
Gallons,1.058185737E9
Aircraft Days,118579.0
Large Narrowbodies,1094020.0
Pilots (000),286079.0
Salaries and Wages (000),214222.0
Pilot Training (000),7946.0
Benefits and Payroll Taxes (000),45451.0
Per Diem/ Personnel (000),18460.0
Purchased Goods (000),258171.0
Fuel/Oil (000),223000.0
Insurance (000),1749.0
Other (inc. Tax) (000),33422.0
Maintenance (000),282392.0
Labor (000),49986.0
Materials (000),50083.0
Third Party (000),27167.0
Total Direct (000),127236.0
Burden (000),155156.0
Aircraft Ownership (000),262409.0
Rentals (000),159626.0
Depreciation and Amortization (000),102783.0
Other (000),4969.0
Aircraft In Fleet,96.0
Seats Per Departure,188.0
Average Stage Length,1311.0
Gallons of Fuel Per Block Hour,1050.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,4.0
Block Hours,397105.0
Airborne Hours,348403.0
Departures,125820.0
RPMs,2.2128764E10
ASMs,3.1014648E10
Miles,1.65008974E8
Gallons,4.17016067E8
Aircraft Days,34912.0
Widebodies,3222970.0
Pilots (000),830016.0
Salaries and Wages (000),638217.0
Pilot Training (000),20601.0
Benefits and Payroll Taxes (000),133112.0
Per Diem/ Personnel (000),38086.0
Purchased Goods (000),883567.0
Fuel/Oil (000),836976.0
Insurance (000),5654.0
Other (inc. Tax) (000),40937.0
Maintenance (000),754784.0
Labor (000),134073.0
Materials (000),126307.0
Third Party (000),156598.0
Total Direct (000),402388.0
Burden (000),352396.0
Aircraft Ownership (000),742414.0
Rentals (000),419195.0
Depreciation and Amortization (000),323219.0
Other (000),12189.0
Aircraft In Fleet,153.0
Seats Per Departure,284.0
Average Stage Length,2783.0
Gallons of Fuel Per Block Hour,2385.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,11.0
Departures,2.0
Block Hours,651411.0
Airborne Hours,601342.0
Departures,111308.0
RPMs,6.3982175E10
ASMs,8.8099204E10
Miles,3.09791201E8
Gallons,1.553290817E9
Aircraft Days,55743.0
Total Fleet,6996380.0
Pilots (000),1805319.0
Salaries and Wages (000),1360762.0
Pilot Training (000),50584.0
Benefits and Payroll Taxes (000),283608.0
Per Diem/ Personnel (000),110365.0
Purchased Goods (000),1804258.0
Fuel/Oil (000),1627202.0
Insurance (000),9963.0
Other (inc. Tax) (000),167093.0
Maintenance (000),1891336.0
Labor (000),333723.0
Materials (000),347947.0
Third Party (000),294654.0
Total Direct (000),958224.0
Burden (000),933112.0
Aircraft Ownership (000),1463948.0
Rentals (000),895141.0
Depreciation and Amortization (000),568807.0
Other (000),31519.0
Aircraft In Fleet,573.0
Seats Per Departure,195.0
Average Stage Length,1115.0
Gallons of Fuel Per Block Hour,1372.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,9.0
Departures,4.0
Block Hours,2207741.0
Airborne Hours,1918156.0
Departures,802585.0
RPMs,1.24610307E11
ASMs,1.74008841E11
Miles,8.94564805E8
Gallons,3.028492621E9
Aircraft Days,209234.0
Number of Days,365.0
Sum of Block Hours,1159225.0
Sum of Airborne Hours,968411.0
Sum of Departures,565457.0
Sum of RPMs,3.8499368E10
Sum of ASMs,5.4894989E10
Sum of Miles,4.1976463E8
Sum of Gallons,1.058185737E9
Sum of ACFleet,118579.0
Sum of Total AC Op,2679390.0
Sum of Pilots,689224.0
Sum of Salaries and Wages,508323.0
Sum of Pilot Training,22037.0
Sum of Benefits and Payroll Taxes,105045.0
Sum of Per Diem/ Personnel,53819.0
Sum of Purchased Goods,662520.0
Sum of Fuel/Oil,567226.0
Sum of Insurance,2560.0
Sum of Other (inc. Tax),92734.0
Sum of MX,854160.0
Sum of Labor,149664.0
Sum of Materials,171557.0
Sum of Third Party,110889.0
Sum of Total Direct,428600.0
Sum of Burden,425560.0
Sum of Aircraft Ownership,459125.0
Sum of Rentals,316320.0
Sum of Depreciation and Amortization,142805.0
Sum of Other,15094.0
Sum of Block Hours,397105.0
Sum of Airborne Hours,348403.0
Sum of Departures,125820.0
Sum of RPMs,2.2128764E10
Sum of ASMs,3.1014648E10
Sum of Miles,1.65008974E8
Sum of Gallons,4.17016067E8
Sum of ACFleet,34912.0
Sum of Total AC Op,1094020.0
Sum of Pilots,286079.0
Sum of Salaries and Wages,214222.0
Sum of Pilot Training,7946.0
Sum of Benefits and Payroll Taxes,45451.0
Sum of Per Diem/ Personnel,18460.0
Sum of Purchased Goods,258171.0
Sum of Fuel/Oil,223000.0
Sum of Insurance,1749.0
Sum of Other (inc. Tax),33422.0
Sum of MX,282392.0
Sum of Labor,49986.0
Sum of Materials,50083.0
Sum of Third Party,27167.0
Sum of Total Direct,127236.0
Sum of Burden,155156.0
Sum of Aircraft Ownership,262409.0
Sum of Rentals,159626.0
Sum of Depreciation and Amortization,102783.0
Sum of Other,5553.0
Sum of Block Hours,651411.0
Sum of Airborne Hours,601342.0
Sum of Departures,111308.0
Sum of RPMs,6.3982175E10
Sum of ASMs,8.8099204E10
Sum of Miles,3.09791201E8
Sum of Gallons,1.553290817E9
Sum of ACFleet,55743.0
Sum of Total AC Op,3222970.0
Sum of Pilots,830016.0
Sum of Salaries and Wages,638217.0
Sum of Pilot Training,20601.0
Sum of Benefits and Payroll Taxes,133112.0
Sum of Per Diem/ Personnel,38086.0
Sum of Purchased Goods,883567.0
Sum of Fuel/Oil,836976.0
Sum of Insurance,5654.0
Sum of Other (inc. Tax),40937.0
Sum of MX,754784.0
Sum of Labor,134073.0
Sum of Materials,126307.0
Sum of Third Party,156598.0
Sum of Total Direct,402388.0
Sum of Burden,352396.0
Sum of Aircraft Ownership,742414.0
Sum of Rentals,419195.0
Sum of Depreciation and Amortization,323219.0
Sum of Other,14124.0
Sum of Block Hours,2207741.0
Sum of Airborne Hours,1918156.0
Sum of Departures,802585.0
Sum of RPMs,1.24610307E11
Sum of ASMs,1.74008841E11
Sum of Miles,8.94564805E8
Sum of Gallons,3.028492621E9
Sum of ACFleet,209234.0
Sum of Total AC Op,6996380.0
Sum of Pilots,1805319.0
Sum of Salaries and Wages,1360762.0
Sum of Pilot Training,50584.0
Sum of Benefits and Payroll Taxes,283608.0
Sum of Per Diem/ Personnel,110365.0
Sum of Purchased Goods,1804258.0
Sum of Fuel/Oil,1627202.0
Sum of Insurance,9963.0
Sum of Other (inc. Tax),167093.0
Sum of MX,1891336.0
Sum of Labor,333723.0
Sum of Materials,347947.0
Sum of Third Party,294654.0
Sum of Total Direct,958224.0
Sum of Burden,933112.0
Sum of Aircraft Ownership,1463948.0
Sum of Rentals,895141.0
Sum of Depreciation and Amortization,568807.0
Sum of Other,34771.0
