Anno,1999
Small Narrowbodies,2340.0
(Ex Fuel),1881.0
Pilots,597.0
Salaries and Wages,437.0
Pilot Training,21.0
Benefits and Payroll Taxes,89.0
Per Diem/ Personnel,50.0
Purchased Goods,544.0
Fuel/Oil,459.0
Insurance,2.0
Other (inc. Tax),83.0
Maintenance,788.0
Labor,134.0
Materials,162.0
Third Party,126.0
Total Direct,420.0
Burden,367.0
Aircraft Ownership,408.0
Rentals,257.0
Depreciation and Amortization,151.0
Other,4.0
Aircraft In Fleet,336.0
Seats Per Departure,131.0
Average Stage Length,760.0
Gallons of Fuel Per Block Hour,900.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,8.0
Departures,5.0
Large Narrowbodies,2684.0
(Ex Fuel),2150.0
Pilots,733.0
Salaries and Wages,546.0
Pilot Training,23.0
Benefits and Payroll Taxes,114.0
Per Diem/ Personnel,50.0
Purchased Goods,631.0
Fuel/Oil,534.0
Insurance,4.0
Other (inc. Tax),93.0
Maintenance,739.0
Labor,121.0
Materials,167.0
Third Party,70.0
Total Direct,359.0
Burden,380.0
Aircraft Ownership,575.0
Rentals,374.0
Depreciation and Amortization,200.0
Other,6.0
Aircraft In Fleet,98.0
Seats Per Departure,186.0
Average Stage Length,1281.0
Gallons of Fuel Per Block Hour,1050.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,4.0
Widebodies,4804.0
(Ex Fuel),3572.0
Pilots,1247.0
Salaries and Wages,949.0
Pilot Training,38.0
Benefits and Payroll Taxes,196.0
Per Diem/ Personnel,63.0
Purchased Goods,1309.0
Fuel/Oil,1232.0
Insurance,8.0
Other (inc. Tax),70.0
Maintenance,1116.0
Labor,204.0
Materials,236.0
Third Party,226.0
Total Direct,572.0
Burden,545.0
Aircraft Ownership,1121.0
Rentals,622.0
Depreciation and Amortization,500.0
Other,10.0
Aircraft In Fleet,153.0
Seats Per Departure,280.0
Average Stage Length,2772.0
Gallons of Fuel Per Block Hour,2317.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,11.0
Departures,2.0
Total Fleet,3119.0
(Ex Fuel),2421.0
Pilots,810.0
Salaries and Wages,606.0
Pilot Training,26.0
Benefits and Payroll Taxes,124.0
Per Diem/ Personnel,54.0
Purchased Goods,782.0
Fuel/Oil,697.0
Insurance,4.0
Other (inc. Tax),81.0
Maintenance,875.0
Labor,152.0
Materials,184.0
Third Party,146.0
Total Direct,454.0
Burden,421.0
Aircraft Ownership,645.0
Rentals,384.0
Depreciation and Amortization,261.0
Other,6.0
Aircraft In Fleet,587.0
Seats Per Departure,192.0
Average Stage Length,1121.0
Gallons of Fuel Per Block Hour,1339.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,9.0
Departures,4.0
Small Narrowbodies,2854374.0
Pilots (000),728240.0
Salaries and Wages (000),533546.0
Pilot Training (000),25315.0
Benefits and Payroll Taxes (000),108242.0
Per Diem/ Personnel (000),61137.0
Purchased Goods (000),663255.0
Fuel/Oil (000),559818.0
Insurance (000),2445.0
Other (inc. Tax) (000),100992.0
Maintenance (000),960789.0
Labor (000),164053.0
Materials (000),197205.0
Third Party (000),153840.0
Total Direct (000),512748.0
Burden (000),448041.0
Aircraft Ownership (000),497285.0
Rentals (000),313635.0
Depreciation and Amortization (000),183650.0
Other (000),4805.0
Aircraft In Fleet,336.0
Seats Per Departure,131.0
Average Stage Length,760.0
Gallons of Fuel Per Block Hour,900.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,8.0
Departures,5.0
Block Hours,1219822.0
Airborne Hours,1010521.0
Departures,577901.0
RPMs,3.9365256E10
ASMs,5.7675637E10
Miles,4.39361183E8
Gallons,1.097702604E9
Aircraft Days,122593.0
Large Narrowbodies,1077047.0
Pilots (000),294222.0
Salaries and Wages (000),219092.0
Pilot Training (000),9301.0
Benefits and Payroll Taxes (000),45725.0
Per Diem/ Personnel (000),20104.0
Purchased Goods (000),253350.0
Fuel/Oil (000),214343.0
Insurance (000),1534.0
Other (inc. Tax) (000),37473.0
Maintenance (000),296583.0
Labor (000),48698.0
Materials (000),66953.0
Third Party (000),28250.0
Total Direct (000),143901.0
Burden (000),152682.0
Aircraft Ownership (000),230634.0
Rentals (000),150276.0
Depreciation and Amortization (000),80358.0
Other (000),2258.0
Aircraft In Fleet,98.0
Seats Per Departure,186.0
Average Stage Length,1281.0
Gallons of Fuel Per Block Hour,1050.0
Load Factor,1.0
