Anno,2006
Small Narrowbodies,3187.0
(Ex Fuel),1635.0
Pilots,462.0
Salaries and Wages,293.0
Pilot Training,9.0
Benefits and Payroll Taxes,121.0
Per Diem/ Personnel,40.0
Purchased Goods,1633.0
Fuel/Oil,1552.0
Insurance,4.0
Other (inc. Tax),77.0
Maintenance,721.0
Labor,68.0
Materials,74.0
Third Party,352.0
Total Direct,494.0
Burden,227.0
Aircraft Ownership,366.0
Rentals,193.0
Depreciation and Amortization,173.0
Other,4.0
Aircraft In Fleet,246.0
Seats Per Departure,132.0
Average Stage Length,942.0
Gallons of Fuel Per Block Hour,756.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,10.0
Departures,4.0
Large Narrowbodies,3966.0
(Ex Fuel),1875.0
Pilots,543.0
Salaries and Wages,353.0
Pilot Training,7.0
Benefits and Payroll Taxes,143.0
Per Diem/ Personnel,40.0
Purchased Goods,2200.0
Fuel/Oil,2091.0
Insurance,4.0
Other (inc. Tax),105.0
Maintenance,834.0
Labor,84.0
Materials,123.0
Third Party,313.0
Total Direct,520.0
Burden,314.0
Aircraft Ownership,385.0
Rentals,239.0
Depreciation and Amortization,146.0
Other,3.0
Aircraft In Fleet,97.0
Seats Per Departure,171.0
Average Stage Length,1449.0
Gallons of Fuel Per Block Hour,1022.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Widebodies,7747.0
(Ex Fuel),3279.0
Pilots,880.0
Salaries and Wages,581.0
Pilot Training,12.0
Benefits and Payroll Taxes,227.0
Per Diem/ Personnel,60.0
Purchased Goods,4634.0
Fuel/Oil,4468.0
Insurance,17.0
Other (inc. Tax),149.0
Maintenance,1410.0
Labor,97.0
Materials,186.0
Third Party,629.0
Total Direct,912.0
Burden,497.0
Aircraft Ownership,815.0
Rentals,264.0
Depreciation and Amortization,551.0
Other,8.0
Aircraft In Fleet,117.0
Seats Per Departure,273.0
Average Stage Length,3348.0
Gallons of Fuel Per Block Hour,2235.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,12.0
Departures,2.0
Total Fleet,4618.0
(Ex Fuel),2142.0
Pilots,595.0
Salaries and Wages,386.0
Pilot Training,9.0
Benefits and Payroll Taxes,155.0
Per Diem/ Personnel,46.0
Purchased Goods,2587.0
Fuel/Oil,2476.0
Insurance,8.0
Other (inc. Tax),103.0
Maintenance,936.0
Labor,80.0
Materials,116.0
Third Party,420.0
Total Direct,615.0
Burden,321.0
Aircraft Ownership,495.0
Rentals,222.0
Depreciation and Amortization,272.0
Other,5.0
Aircraft In Fleet,460.0
Seats Per Departure,186.0
Average Stage Length,1364.0
Gallons of Fuel Per Block Hour,1223.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
