Anno,2007
Small Narrowbodies,3375.0
(Ex Fuel),1770.0
Pilots,468.0
Salaries and Wages,296.0
Pilot Training,10.0
Benefits and Payroll Taxes,118.0
Per Diem/ Personnel,44.0
Purchased Goods,1681.0
Fuel/Oil,1605.0
Insurance,4.0
Other (inc. Tax),72.0
Maintenance,833.0
Labor,68.0
Materials,101.0
Third Party,425.0
Total Direct,594.0
Burden,240.0
Aircraft Ownership,391.0
Rentals,199.0
Depreciation and Amortization,191.0
Other,3.0
Aircraft In Fleet,239.0
Seats Per Departure,131.0
Average Stage Length,926.0
Gallons of Fuel Per Block Hour,747.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,4.0
Large Narrowbodies,4334.0
(Ex Fuel),2197.0
Pilots,566.0
Salaries and Wages,368.0
Pilot Training,11.0
Benefits and Payroll Taxes,143.0
Per Diem/ Personnel,44.0
Purchased Goods,2236.0
Fuel/Oil,2137.0
Insurance,3.0
Other (inc. Tax),97.0
Maintenance,1108.0
Labor,86.0
Materials,198.0
Third Party,460.0
Total Direct,744.0
Burden,364.0
Aircraft Ownership,418.0
Rentals,242.0
Depreciation and Amortization,176.0
Other,5.0
Aircraft In Fleet,97.0
Seats Per Departure,171.0
Average Stage Length,1445.0
Gallons of Fuel Per Block Hour,1004.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Widebodies,7986.0
(Ex Fuel),3260.0
Pilots,900.0
Salaries and Wages,595.0
Pilot Training,14.0
Benefits and Payroll Taxes,223.0
Per Diem/ Personnel,68.0
Purchased Goods,4884.0
Fuel/Oil,4726.0
Insurance,12.0
Other (inc. Tax),145.0
Maintenance,1386.0
Labor,111.0
Materials,188.0
Third Party,590.0
Total Direct,888.0
Burden,498.0
Aircraft Ownership,793.0
Rentals,247.0
Depreciation and Amortization,546.0
Other,24.0
Aircraft In Fleet,117.0
Seats Per Departure,273.0
Average Stage Length,3476.0
Gallons of Fuel Per Block Hour,2266.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,12.0
Departures,2.0
Total Fleet,4899.0
(Ex Fuel),2287.0
Pilots,613.0
Salaries and Wages,397.0
Pilot Training,11.0
Benefits and Payroll Taxes,153.0
Per Diem/ Personnel,51.0
Purchased Goods,2716.0
Fuel/Oil,2611.0
Insurance,6.0
Other (inc. Tax),98.0
Maintenance,1050.0
Labor,84.0
Materials,146.0
Third Party,479.0
Total Direct,710.0
Burden,340.0
Aircraft Ownership,512.0
Rentals,222.0
Depreciation and Amortization,290.0
Other,9.0
Aircraft In Fleet,453.0
Seats Per Departure,188.0
Average Stage Length,1371.0
Gallons of Fuel Per Block Hour,1237.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Small Narrowbodies,3139163.0
Pilots (000),435275.0
Salaries and Wages (000),275166.0
Pilot Training (000),9754.0
Benefits and Payroll Taxes (000),109587.0
Per Diem/ Personnel (000),40768.0
Purchased Goods (000),1563076.0
Fuel/Oil (000),1492542.0
Insurance (000),3499.0
Other (inc. Tax) (000),67035.0
Maintenance (000),775084.0
Labor (000),63269.0
Materials (000),94078.0
Third Party (000),394851.0
Total Direct (000),552080.0
Burden (000),223004.0
Aircraft Ownership (000),363329.0
Rentals (000),185287.0
Depreciation and Amortization (000),178042.0
Other (000),2399.0
Aircraft In Fleet,239.0
Seats Per Departure,131.0
Average Stage Length,926.0
Gallons of Fuel Per Block Hour,747.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,4.0
Block Hours,930107.0
Airborne Hours,933277.0
Departures,367853.0
RPMs,3.6957512698E10
ASMs,4.4761446708E10
Miles,3.40752609E8
Gallons,6.95146747E8
Aircraft Days,87302.0
Large Narrowbodies,1681180.0
Pilots (000),219742.0
Salaries and Wages (000),142880.0
Pilot Training (000),4185.0
Benefits and Payroll Taxes (000),55612.0
Per Diem/ Personnel (000),17065.0
Purchased Goods (000),867528.0
Fuel/Oil (000),828809.0
Insurance (000),1180.0
Other (inc. Tax) (000),37539.0
Maintenance (000),429831.0
Labor (000),33249.0
Materials (000),76872.0
Third Party (000),178363.0
Total Direct (000),288484.0
Burden (000),141347.0
Aircraft Ownership (000),162325.0
Rentals (000),94062.0
Depreciation and Amortization (000),68263.0
Other (000),1754.0
Aircraft In Fleet,97.0
Seats Per Departure,171.0
Average Stage Length,1445.0
Gallons of Fuel Per Block Hour,1004.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Block Hours,387911.0
Airborne Hours,388823.0
Departures,109121.0
RPMs,2.2262357719E10
ASMs,2.693947916E10
