Anno,2009
Small Narrowbodies,3087.0
(Ex Fuel),1803.0
Pilots,581.0
Salaries and Wages,354.0
Pilot Training,13.0
Benefits and Payroll Taxes,167.0
Per Diem/ Personnel,46.0
Purchased Goods,1357.0
Fuel/Oil,1284.0
Insurance,3.0
Other (inc. Tax),70.0
Maintenance,712.0
Labor,110.0
Materials,52.0
Third Party,370.0
Total Direct,532.0
Burden,180.0
Aircraft Ownership,435.0
Rentals,215.0
Depreciation and Amortization,221.0
Other,1.0
Aircraft In Fleet,173.0
Seats Per Departure,135.0
Average Stage Length,925.0
Gallons of Fuel Per Block Hour,760.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,10.0
Departures,4.0
Large Narrowbodies,4344.0
(Ex Fuel),2597.0
Pilots,650.0
Salaries and Wages,401.0
Pilot Training,12.0
Benefits and Payroll Taxes,189.0
Per Diem/ Personnel,47.0
Purchased Goods,1844.0
Fuel/Oil,1747.0
Insurance,2.0
Other (inc. Tax),95.0
Maintenance,1334.0
Labor,224.0
Materials,270.0
Third Party,384.0
Total Direct,878.0
Burden,456.0
Aircraft Ownership,516.0
Rentals,263.0
Depreciation and Amortization,253.0
Other,1.0
Aircraft In Fleet,97.0
Seats Per Departure,171.0
Average Stage Length,1371.0
Gallons of Fuel Per Block Hour,1015.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,10.0
Departures,3.0
Widebodies,7054.0
(Ex Fuel),3424.0
Pilots,1055.0
Salaries and Wages,656.0
Pilot Training,21.0
Benefits and Payroll Taxes,305.0
Per Diem/ Personnel,73.0
Purchased Goods,3762.0
Fuel/Oil,3631.0
Insurance,8.0
Other (inc. Tax),123.0
Maintenance,1395.0
Labor,219.0
Materials,161.0
Third Party,577.0
Total Direct,958.0
Burden,437.0
Aircraft Ownership,837.0
Rentals,230.0
Depreciation and Amortization,606.0
Other,7.0
Aircraft In Fleet,113.0
Seats Per Departure,270.0
Average Stage Length,3553.0
Gallons of Fuel Per Block Hour,2175.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,12.0
Departures,2.0
Total Fleet,4701.0
(Ex Fuel),2530.0
Pilots,754.0
Salaries and Wages,465.0
Pilot Training,15.0
Benefits and Payroll Taxes,218.0
Per Diem/ Personnel,55.0
Purchased Goods,2269.0
Fuel/Oil,2171.0
Insurance,5.0
Other (inc. Tax),93.0
Maintenance,1088.0
Labor,174.0
Materials,141.0
Third Party,442.0
Total Direct,756.0
Burden,332.0
Aircraft Ownership,587.0
Rentals,232.0
Depreciation and Amortization,356.0
Other,3.0
Aircraft In Fleet,382.0
Seats Per Departure,195.0
Average Stage Length,1446.0
Gallons of Fuel Per Block Hour,1289.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Small Narrowbodies,1989693.0
Pilots (000),374621.0
Salaries and Wages (000),228164.0
Pilot Training (000),8636.0
Benefits and Payroll Taxes (000),107956.0
Per Diem/ Personnel (000),29865.0
Purchased Goods (000),874564.0
Fuel/Oil (000),827557.0
Insurance (000),1960.0
Other (inc. Tax) (000),45047.0
Maintenance (000),458990.0
Labor (000),70813.0
Materials (000),33709.0
Third Party (000),238210.0
Total Direct (000),342732.0
Burden (000),116258.0
Aircraft Ownership (000),280624.0
Rentals (000),138365.0
Depreciation and Amortization (000),142259.0
Other (000),894.0
Aircraft In Fleet,173.0
Seats Per Departure,135.0
Average Stage Length,925.0
Gallons of Fuel Per Block Hour,760.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,10.0
Departures,4.0
Block Hours,644530.0
Airborne Hours,646647.0
Departures,259240.0
RPMs,2.6400345213E10
ASMs,3.2266751052E10
Miles,2.39878261E8
Gallons,4.89635018E8
Aircraft Days,63018.0
Large Narrowbodies,1578611.0
Pilots (000),236153.0
Salaries and Wages (000),145867.0
Pilot Training (000),4335.0
Benefits and Payroll Taxes (000),68861.0
Per Diem/ Personnel (000),17090.0
Purchased Goods (000),669993.0
Fuel/Oil (000),634788.0
Insurance (000),801.0
Other (inc. Tax) (000),34404.0
Maintenance (000),484634.0
Labor (000),81346.0
Materials (000),98068.0
Third Party (000),139571.0
Total Direct (000),318985.0
Burden (000),165649.0
Aircraft Ownership (000),187588.0
Rentals (000),95763.0
Depreciation and Amortization (000),91825.0
Other (000),243.0
Aircraft In Fleet,97.0
Seats Per Departure,171.0
Average Stage Length,1371.0
Gallons of Fuel Per Block Hour,1015.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,10.0
Departures,3.0
Block Hours,363429.0
Airborne Hours,364700.0
Departures,107839.0
RPMs,2.1285631717E10
ASMs,2.5242357278E10
Miles,1.47808177E8
Gallons,3.68812308E8
Aircraft Days,35284.0
Widebodies,3509225.0
Pilots (000),524864.0
Salaries and Wages (000),326187.0
Pilot Training (000),10359.0
Benefits and Payroll Taxes (000),151860.0
Per Diem/ Personnel (000),36458.0
Purchased Goods (000),1871193.0
Fuel/Oil (000),1806139.0
Insurance (000),4041.0
Other (inc. Tax) (000),61013.0
Maintenance (000),693705.0
Labor (000),109178.0
Materials (000),80262.0
Third Party (000),287101.0
Total Direct (000),476541.0
Burden (000),217164.0
Aircraft Ownership (000),416147.0
Rentals (000),114581.0
Depreciation and Amortization (000),301566.0
Other (000),3316.0
Aircraft In Fleet,113.0
Seats Per Departure,270.0
Average Stage Length,3553.0
Gallons of Fuel Per Block Hour,2175.0
Load Factor,1.0
Block Hours,12.0
Airborne Hours,12.0
Departures,2.0
Block Hours,497452.0
Airborne Hours,498759.0
Departures,68003.0
RPMs,5.278940514E10
ASMs,6.5228539077E10
Miles,2.41632442E8
Gallons,1.081934087E9
Aircraft Days,41155.0
Total Fleet,7077529.0
Pilots (000),1135638.0
Salaries and Wages (000),700218.0
Pilot Training (000),23330.0
Benefits and Payroll Taxes (000),328677.0
Per Diem/ Personnel (000),83413.0
Purchased Goods (000),3415750.0
Fuel/Oil (000),3268484.0
Insurance (000),6802.0
Other (inc. Tax) (000),140464.0
Maintenance (000),1637329.0
Labor (000),261337.0
Materials (000),212039.0
Third Party (000),664882.0
Total Direct (000),1138258.0
Burden (000),499071.0
Aircraft Ownership (000),884359.0
Rentals (000),348709.0
Depreciation and Amortization (000),535650.0
Other (000),4453.0
Aircraft In Fleet,382.0
Seats Per Departure,195.0
Average Stage Length,1446.0
Gallons of Fuel Per Block Hour,1289.0
Load Factor,1.0
Block Hours,11.0
Airborne Hours,11.0
Departures,3.0
Block Hours,1505411.0
Airborne Hours,1510106.0
Departures,435082.0
RPMs,1.0047538207E11
ASMs,1.22737647407E11
Miles,6.2931888E8
Gallons,1.940381413E9
Aircraft Days,139457.0
Number of Days,365.0
Sum of Block Hours,644530.0
Sum of Airborne Hours,646647.0
Sum of Departures,259240.0
Sum of RPMs,2.6400345213E10
Sum of ASMs,3.2266751052E10
Sum of Miles,2.39878261E8
Sum of Gallons,4.89635018E8
Sum of ACFleet,63018.0
Sum of Total AC Op,1989693.0
Sum of Pilots,374621.0
Sum of Salaries and Wages,228164.0
Sum of Pilot Training,8636.0
Sum of Benefits and Payroll Taxes,107956.0
Sum of Per Diem/ Personnel,29865.0
Sum of Purchased Goods,874564.0
Sum of Fuel/Oil,827557.0
Sum of Insurance,1960.0
Sum of Other (inc. Tax),45047.0
Sum of MX,458990.0
Sum of Labor,70813.0
Sum of Materials,33709.0
Sum of Third Party,238210.0
Sum of Total Direct,342732.0
Sum of Burden,116258.0
Sum of Aircraft Ownership,280624.0
Sum of Rentals,138365.0
Sum of Depreciation and Amortization,142259.0
Sum of Other,3267.0
Sum of Block Hours,363429.0
Sum of Airborne Hours,364700.0
Sum of Departures,107839.0
Sum of RPMs,2.1285631717E10
Sum of ASMs,2.5242357278E10
Sum of Miles,1.47808177E8
Sum of Gallons,3.68812308E8
Sum of ACFleet,35284.0
Sum of Total AC Op,1578611.0
Sum of Pilots,236153.0
Sum of Salaries and Wages,145867.0
Sum of Pilot Training,4335.0
Sum of Benefits and Payroll Taxes,68861.0
Sum of Per Diem/ Personnel,17090.0
Sum of Purchased Goods,669993.0
Sum of Fuel/Oil,634788.0
Sum of Insurance,801.0
Sum of Other (inc. Tax),34404.0
Sum of MX,484634.0
Sum of Labor,81346.0
Sum of Materials,98068.0
Sum of Third Party,139571.0
Sum of Total Direct,318985.0
Sum of Burden,165649.0
Sum of Aircraft Ownership,187588.0
Sum of Rentals,95763.0
Sum of Depreciation and Amortization,91825.0
Sum of Other,1897.0
Sum of Block Hours,497452.0
Sum of Airborne Hours,498759.0
Sum of Departures,68003.0
Sum of RPMs,5.278940514E10
Sum of ASMs,6.5228539077E10
Sum of Miles,2.41632442E8
Sum of Gallons,1.081934087E9
Sum of ACFleet,41155.0
Sum of Total AC Op,3509225.0
Sum of Pilots,524864.0
Sum of Salaries and Wages,326187.0
Sum of Pilot Training,10359.0
Sum of Benefits and Payroll Taxes,151860.0
Sum of Per Diem/ Personnel,36458.0
Sum of Purchased Goods,1871193.0
Sum of Fuel/Oil,1806139.0
Sum of Insurance,4041.0
Sum of Other (inc. Tax),61013.0
Sum of MX,693705.0
Sum of Labor,109178.0
Sum of Materials,80262.0
Sum of Third Party,287101.0
Sum of Total Direct,476541.0
Sum of Burden,217164.0
Sum of Aircraft Ownership,416147.0
Sum of Rentals,114581.0
Sum of Depreciation and Amortization,301566.0
Sum of Other,4962.0
Sum of Block Hours,1505411.0
Sum of Airborne Hours,1510106.0
Sum of Departures,435082.0
Sum of RPMs,1.0047538207E11
Sum of ASMs,1.22737647407E11
Sum of Miles,6.2931888E8
Sum of Gallons,1.940381413E9
Sum of ACFleet,139457.0
Sum of Total AC Op,7077529.0
Sum of Pilots,1135638.0
Sum of Salaries and Wages,700218.0
Sum of Pilot Training,23330.0
Sum of Benefits and Payroll Taxes,328677.0
Sum of Per Diem/ Personnel,83413.0
Sum of Purchased Goods,3415750.0
Sum of Fuel/Oil,3268484.0
Sum of Insurance,6802.0
Sum of Other (inc. Tax),140464.0
Sum of MX,1637329.0
Sum of Labor,261337.0
Sum of Materials,212039.0
Sum of Third Party,664882.0
