"tipo_veicolo";"provincia";"fascia_anno_immatric_nonstorico";"fascia_anno_immatric_20";"fascia_anno_immatric_30";"fascia_anno_immatric_40";"fascia_anno_immatric_50";"fascia_anno_immatric_60";"fascia_anno_immatric_70";"fascia_anno_immatric_oltre_70";"totale";"data_riferimento"
"AUTOVEICOLO";"BIELLA";"104758";"13182";"4108";"2269";"991";"143";"34";"23";"125508";"2020-12-31"
"MOTOVEICOLO";"BIELLA";"12078";"2949";"2872";"1414";"486";"407";"63";"24";"20294";"2020-12-31"
"MOTOVEICOLO";"CUNEO";"44583";"9567";"9753";"4582";"1345";"1304";"178";"77";"71389";"2020-12-31"
"MOTOVEICOLO";"VERCELLI";"10855";"2694";"2382";"1133";"353";"380";"74";"25";"17896";"2020-12-31"
"AUTOVEICOLO";"ALESSANDRIA";"247011";"31752";"11115";"5593";"2141";"283";"84";"50";"298029";"2020-12-31"
"AUTOVEICOLO";"CUNEO";"355049";"37549";"12066";"7783";"3171";"432";"98";"119";"416267";"2020-12-31"
"MOTOVEICOLO";"ALESSANDRIA";"33809";"8396";"7531";"3755";"858";"774";"111";"40";"55274";"2020-12-31"
"AUTOVEICOLO";"ASTI";"94571";"13027";"4114";"2046";"895";"130";"44";"30";"114857";"2020-12-31"
"AUTOVEICOLO";"NOVARA";"202776";"20165";"6365";"3689";"1466";"188";"52";"26";"234727";"2020-12-31"
"AUTOVEICOLO";"VERBANO-CUSIO-OSSOLA";"87380";"7804";"2654";"1669";"665";"96";"19";"17";"100304";"2020-12-31"
"MOTOVEICOLO";"ASTI";"12939";"3105";"2697";"1329";"360";"326";"67";"28";"20851";"2020-12-31"
"MOTOVEICOLO";"NOVARA";"25724";"5466";"4637";"2107";"586";"606";"73";"33";"39232";"2020-12-31"
"AUTOVEICOLO";"TORINO";"1274258";"138946";"34484";"19567";"8769";"1203";"280";"273";"1477780";"2020-12-31"
"AUTOVEICOLO";"VERCELLI";"94106";"10897";"3520";"2073";"819";"127";"31";"28";"111602";"2020-12-31"
"MOTOVEICOLO";"TORINO";"153739";"32992";"25380";"11673";"3553";"2680";"323";"149";"230489";"2020-12-31"
"MOTOVEICOLO";"VERBANO-CUSIO-OSSOLA";"13235";"2866";"2635";"1237";"396";"319";"34";"19";"20741";"2020-12-31"
"AUTOVEICOLO";"VERBANO-CUSIO-OSSOLA";"85867";"8730";"2821";"1722";"834";"108";"30";"19";"100131";"2021-12-31"
"AUTOVEICOLO";"ALESSANDRIA";"240164";"33935";"11898";"5741";"2700";"330";"106";"51";"294925";"2021-12-31"
"MOTOVEICOLO";"ALESSANDRIA";"32936";"9397";"7001";"4614";"912";"785";"190";"43";"55878";"2021-12-31"
"MOTOVEICOLO";"CUNEO";"44373";"10596";"9009";"5780";"1379";"1438";"291";"82";"72948";"2021-12-31"
"MOTOVEICOLO";"BIELLA";"11831";"3270";"2729";"1714";"497";"426";"103";"25";"20596";"2021-12-31"
"MOTOVEICOLO";"VERBANO-CUSIO-OSSOLA";"12961";"3196";"2509";"1526";"416";"361";"57";"19";"21045";"2021-12-31"
"AUTOVEICOLO";"TORINO";"1218766";"154792";"37806";"18998";"11318";"1365";"400";"291";"1443736";"2021-12-31"
"MOTOVEICOLO";"TORINO";"150902";"37985";"24375";"14204";"3688";"2889";"590";"157";"234790";"2021-12-31"
"AUTOVEICOLO";"CUNEO";"347692";"40025";"12867";"7743";"4035";"484";"134";"118";"413098";"2021-12-31"
"AUTOVEICOLO";"VERCELLI";"92564";"11922";"3754";"2114";"1028";"146";"41";"27";"111597";"2021-12-31"
"AUTOVEICOLO";"NOVARA";"199385";"22080";"6799";"3780";"1861";"214";"70";"26";"234215";"2021-12-31"
"MOTOVEICOLO";"VERCELLI";"10630";"3026";"2281";"1353";"328";"416";"112";"29";"18175";"2021-12-31"
"MOTOVEICOLO";"NOVARA";"25308";"6086";"4370";"2627";"605";"639";"126";"32";"39793";"2021-12-31"
"AUTOVEICOLO";"BIELLA";"102478";"14291";"4344";"2319";"1227";"161";"40";"22";"124882";"2021-12-31"
"MOTOVEICOLO";"ASTI";"12808";"3647";"2529";"1697";"375";"361";"89";"29";"21535";"2021-12-31"
"AUTOVEICOLO";"ASTI";"93019";"14158";"4506";"1995";"1149";"140";"56";"31";"115054";"2021-12-31"
