country,cnt_error_city,prc_error_city
Chad,23,95.83333333333333
Paraguay,25,100.0
Russia,1070,99.90662931839402
Macao,1,100.0
U.S. Virgin Islands,1,50.0
Yemen,22,95.65217391304348
Senegal,28,96.55172413793103
Sweden,91,98.91304347826087
French Southern Territories,1,100.0
Svalbard and Jan Mayen,1,100.0
Guyana,2,66.66666666666667
Eritrea,5,83.33333333333333
Philippines,417,99.76076555023923
Djibouti,4,80.0
Tonga,1,100.0
Malaysia,137,99.27536231884058
Fiji,3,75.0
Turkey,381,99.73821989528795
Malawi,16,94.11764705882354
Western Sahara,3,100.0
Iraq,67,98.52941176470588
Germany,1050,99.90485252140819
Northern Mariana Islands,1,100.0
Comoros,1,50.0
Afghanistan,47,97.91666666666667
Cambodia,25,96.15384615384616
Ivory Coast,57,100.0
Jordan,25,96.15384615384616
Rwanda,10,90.9090909090909
Saint Helena,1,100.0
Sudan,45,97.82608695652173
Palau,1,100.0
France,632,99.84202211690364
Turks and Caicos Islands,1,100.0
Greece,108,99.08256880733946
Kosovo,20,95.23809523809524
Sri Lanka,50,96.15384615384616
Montserrat,1,50.0
British Virgin Islands,1,50.0
Taiwan,21,100.0
Algeria,246,99.59514170040485
Equatorial Guinea,2,66.66666666666667
Togo,17,100.0
Slovakia,51,98.07692307692308
Reunion,13,92.85714285714286
Argentina,199,99.5
Angola,26,96.29629629629629
Belgium,183,99.45652173913044
Vatican,1,100.0
East Timor,10,100.0
Ecuador,65,98.48484848484848
Qatar,4,80.0
Lesotho,7,87.5
Albania,19,95.0
Madagascar,83,98.80952380952381
Finland,67,98.52941176470588
New Caledonia,3,100.0
Ghana,57,98.27586206896552
Myanmar,62,98.41269841269842
Nicaragua,35,97.22222222222223
Guernsey,1,100.0
Benin,27,93.10344827586206
Cocos Islands,1,100.0
Peru,106,99.06542056074767
Sierra Leone,9,90.0
Bahamas,3,100.0
China,765,99.86945169712794
Curacao,1,100.0
India,2382,99.9580360889635
United States,2364,99.95771670190275
Belarus,49,98.0
Kuwait,17,94.44444444444444
Malta,4,80.0
Sao Tome and Principe,1,100.0
Marshall Islands,1,50.0
Somalia,26,96.29629629629629
Palestinian Territory,39,100.0
Chile,96,98.96907216494846
Puerto Rico,20,95.23809523809524
Tajikistan,24,96.0
Martinique,8,88.88888888888889
Isle of Man,1,100.0
Croatia,25,96.15384615384616
Burundi,8,80.0
Andorra,1,50.0
Bolivia,25,92.5925925925926
Nigeria,240,99.5850622406639
Gabon,8,88.88888888888889
Italy,570,99.82486865148861
Suriname,1,50.0
Lithuania,34,97.14285714285714
Norway,32,96.96969696969697
Turkmenistan,23,95.83333333333333
Saint Pierre and Miquelon,1,100.0
Spain,567,99.82394366197182
Cuba,124,99.2
South Georgia and the South Sandwich Islands,1,100.0
Mauritania,10,90.9090909090909
Guadeloupe,9,90.0
"Bonaire, Saint Eustatius and Saba",1,100.0
Central African Republic,19,95.0
Denmark,49,98.0
Niger,24,96.0
Bangladesh,97,98.9795918367347
Iran,192,99.48186528497409
Ireland,31,96.875
Pitcairn,1,100.0
Laos,11,91.66666666666667
Swaziland,1,33.333333333333336
Thailand,219,99.54545454545455
Bhutan,3,75.0
Democratic Republic of the Congo,66,100.0
Monaco,1,50.0
Morocco,70,98.59154929577464
Cape Verde,4,100.0
Panama,24,100.0
Hong Kong,6,85.71428571428571
Ukraine,255,100.0
Venezuela,105,99.05660377358491
Iceland,4,100.0
Israel,71,98.61111111111111
Saint Kitts and Nevis,1,100.0
French Polynesia,2,66.66666666666667
Oman,24,96.0
North Korea,56,98.24561403508773
South Korea,116,99.14529914529915
Cyprus,6,85.71428571428571
Uruguay,29,96.66666666666667
Mexico,543,99.81617647058823
Aruba,2,66.66666666666667
Estonia,8,88.88888888888889
Georgia,21,95.45454545454545
Montenegro,7,87.5
Zimbabwe,25,96.15384615384616
Indonesia,369,99.72972972972973
Saint Vincent and the Grenadines,2,100.0
Guam,6,100.0
Guatemala,80,98.76543209876543
Mongolia,20,100.0
Republic of the Congo,12,100.0
Azerbaijan,55,98.21428571428571
Libya,40,97.5609756097561
Armenia,16,94.11764705882354
Liberia,9,90.0
Tunisia,71,98.61111111111111
Honduras,23,95.83333333333333
Syria,73,98.64864864864865
Trinidad and Tobago,13,100.0
Saudi Arabia,59,98.33333333333333
Uganda,45,97.82608695652173
Wallis and Futuna,1,100.0
French Guiana,4,80.0
Mayotte,2,66.66666666666667
Namibia,12,92.3076923076923
Switzerland,82,98.79518072289157
Zambia,28,96.55172413793103
Ethiopia,77,98.71794871794872
Jamaica,10,90.9090909090909
Latvia,13,92.85714285714286
Brunei,3,75.0
South Sudan,11,91.66666666666667
United Arab Emirates,12,92.3076923076923
Aland Islands,1,100.0
Guinea,17,94.44444444444444
Canada,219,99.54545454545455
Faroe Islands,1,100.0
Kyrgyzstan,22,95.65217391304348
Macedonia,36,97.29729729729729
Uzbekistan,94,98.94736842105263
Czech Republic,98,100.0
Mozambique,24,96.0
Belize,3,75.0
Brazil,1186,100.0
Gambia,6,100.0
Kenya,51,98.07692307692308
Lebanon,12,92.3076923076923
Antigua and Barbuda,1,100.0
Slovenia,8,88.88888888888889
Dominican Republic,45,97.82608695652173
Botswana,17,94.44444444444444
Japan,721,99.86149584487535
Tanzania,183,98.91891891891892
Falkland Islands,1,100.0
Luxembourg,2,66.66666666666667
New Zealand,34,97.14285714285714
Bosnia and Herzegovina,21,100.0
Haiti,25,96.15384615384616
Poland,326,99.69418960244649
Portugal,111,99.10714285714286
Australia,198,99.49748743718592
Cameroon,64,100.0
Papua New Guinea,12,92.3076923076923
Guinea-Bissau,1,50.0
Romania,133,99.25373134328358
Bulgaria,54,98.18181818181819
Austria,34,97.14285714285714
Nepal,38,97.43589743589743
Costa Rica,40,100.0
Egypt,119,99.16666666666667
El Salvador,34,97.14285714285714
Kazakhstan,78,100.0
Serbia,47,97.91666666666667
Burkina Faso,31,96.875
South Africa,156,98.11320754716981
Bahrain,7,87.5
Micronesia,1,100.0
Colombia,211,100.0
Hungary,112,99.11504424778761
Pakistan,307,99.67532467532467
Mauritius,10,90.9090909090909
Moldova,20,100.0
United Kingdom,510,99.80430528375734
Vietnam,82,98.79518072289157
Mali,19,95.0
Netherlands,256,99.2248062015504
