match_id,player_id,event_time,event_type
1012,174835,21,penalty
1012,2204,57,goal
102,79318,106,goal
102,79318,108,goal
102,44555,115,goal
102,174649,44,yellow
103,174867,25,goal
103,174684,61,penalty
103,174518,65,goal
103,174708,83,penalty
103,174708,105,penalty
103,174740,28,yellow
1044,44752,1,yellow
1051,174486,18,goal
1051,59816,29,goal
1051,59816,32,goal
1051,58575,54,goal
1051,60039,64,goal
1051,181332,73,goal
1051,45752,79,goal
1054,49828,24,goal
1054,174409,48,goal
1054,46145,68,goal
1055,44647,55,goal
1055,174694,58,goal
1055,160825,61,goal
1055,47055,68,goal
1055,47789,76,goal
1055,52634,83,goal
1055,59530,31,yellow
1058,47683,1,yellow
1071,174645,15,goal
1071,47683,59,goal
1071,57932,84,goal
1071,44651,86,goal
1071,44651,5,yellow
108,79318,76,goal
108,79318,86,goal
108,174366,88,goal
108,174822,20,yellow
1084,61693,12,goal
1084,61693,13,goal
1084,58531,15,goal
1084,49179,51,goal
1085,174777,81,goal
1086,61693,8,goal
1086,60407,12,goal
1086,61693,17,goal
1086,57131,42,penalty
1086,44726,53,goal
1086,60407,55,goal
1086,57131,65,goal
1086,49834,75,goal
1086,61693,80,goal
1087,48687,12,goal
1087,174854,20,goal
1087,61693,37,goal
1087,47419,57,goal
1087,51279,68,goal
1087,47398,89,goal
1088,174777,20,goal
1088,57749,56,goal
1088,61693,69,goal
1088,174854,80,goal
1088,174854,85,goal
1088,61693,87,goal
1088,46989,89,goal
1089,56077,40,penalty
1090,53957,23,goal
1090,49494,45,goal
1090,55992,69,goal
1091,59994,37,goal
1091,63823,67,goal
1091,59994,73,goal
1091,63823,83,goal
1092,46364,60,goal
1092,53657,65,goal
1092,46364,67,goal
1092,59734,85,goal
1093,61698,21,goal
1093,46364,30,goal
1093,63823,62,goal
1094,58531,65,goal
1095,59596,3,goal
1095,57131,51,owngoal
1095,59596,65,goal
1096,29657,19,goal
1096,52726,40,goal
1096,53765,43,goal
1096,47331,70,goal
1096,53765,87,goal
1097,55992,10,goal
1097,55992,15,goal
1097,55992,50,goal
1098,48467,1,goal
1098,58313,75,goal
1098,58384,79,goal
1098,52463,89,goal
1098,49705,70,red
1099,47398,60,goal
1100,48687,7,goal
1100,57652,24,goal
1100,45675,30,goal
1100,47419,35,goal
1101,59734,4,goal
1101,47419,18,goal
1101,45675,20,goal
1101,45675,31,goal
1101,51279,61,goal
1101,47419,67,goal
1101,47419,72,goal
1102,46383,4,goal
1102,51569,9,goal
1102,49694,48,goal
1102,51569,67,goal
1102,52535,79,goal
1104,55121,18,goal
1104,44642,44,goal
1104,44608,93,goal
1104,174400,109,goal
1104,59574,116,penalty
1105,52908,1,goal
1105,47914,27,goal
1105,51009,28,goal
1105,52908,42,goal
1105,44631,54,goal
1106,51009,8,goal
1106,60365,51,goal
1106,44605,60,penalty
1106,53662,63,red
1107,174579,19,goal
1108,52297,25,goal
1108,59711,29,goal
1108,59711,43,goal
1108,58001,49,goal
1108,47914,66,goal
1108,47914,70,goal
1108,47914,87,goal
111,174883,20,goal
111,44783,29,goal
111,44775,52,goal
111,174504,63,goal
111,174649,61,yellow
1111,51276,18,penalty
1111,51276,25,goal
1111,52723,29,goal
1111,63829,55,goal
1119,58843,11,goal
1119,59017,31,goal
1119,49294,35,goal
1119,49294,39,goal
1119,59658,53,goal
1119,59017,61,goal
1122,56771,30,goal
1122,174537,44,goal
1123,174761,11,goal
1129,50950,60,goal
1129,50950,63,goal
1129,48779,82,goal
1130,174799,21,goal
1130,55223,62,goal
1130,174799,69,goal
1130,174799,80,goal
1133,52146,7,goal
1133,58166,29,goal
1133,52146,43,goal
1133,174322,66,goal
1133,59550,69,goal
1134,174884,71,goal
1134,174825,81,goal
1134,44610,95,goal
1135,44610,18,goal
1135,174825,20,goal
1135,44610,29,goal
1135,48676,57,goal
1135,174537,63,goal
1135,44610,64,goal
1135,174825,69,goal
1135,174761,90,goal
114,174711,88,goal
114,154742,90,goal
114,122746,15,yellow
1141,48634,11,goal
1141,174884,50,goal
1141,174799,67,goal
1143,52146,12,goal
1143,58627,24,goal
1143,58193,49,goal
1143,51384,78,goal
1143,174799,82,goal
1146,59523,1,goal
1146,55121,16,goal
1146,51297,38,goal
1146,55121,69,goal
1149,174474,51,goal
1149,174761,60,penalty
1149,63836,87,goal
1150,63829,18,goal
1150,58666,23,penalty
1150,63836,25,goal
1150,56091,44,goal
1150,44754,53,goal
1150,44754,59,goal
1150,56091,71,goal
1150,44754,89,goal
1150,63829,93,goal
1150,63829,104,goal
1150,44754,118,goal
1151,51569,28,goal
1151,55350,38,goal
1151,63836,44,goal
1151,63829,63,goal
1151,63829,74,goal
1151,56091,80,goal
1152,63829,30,goal
1152,174799,65,penalty
1152,63834,14,red
1152,56890,89,red
1152,63832,89,red
1153,174678,25,goal
1153,63829,57,goal
1153,56956,63,goal
1156,46605,35,goal
1156,58197,44,goal
1156,69663,69,goal
1156,46209,88,goal
1156,58197,103,goal
1156,48634,105,goal
1157,48634,35,goal
1157,58197,51,goal
1157,49358,57,goal
1158,45598,9,goal
1158,59912,22,goal
1158,59912,37,goal
1158,59912,44,goal
1158,52017,80,goal
1158,45598,81,goal
1158,55350,84,goal
1158,45598,89,goal
1164,174474,9,goal
1164,50742,10,goal
1164,174862,51,goal
1164,174862,72,goal
1165,49822,29,goal
1165,174322,43,goal
1165,56173,96,red
1166,291616,8,goal
1166,53131,22,owngoal
1166,59783,42,goal
1166,46574,64,goal
1166,174322,75,goal
1166,174322,78,goal
1172,174679,93,goal
1172,60322,111,goal
1172,174799,118,goal
1173,52327,13,goal
1173,59017,15,goal
1173,44605,28,goal
1173,44788,35,goal
1173,44788,76,goal
1173,44605,89,goal
1174,174474,6,goal
1174,44693,8,goal
1174,174862,16,goal
1174,174474,35,goal
1174,44605,70,goal
1174,174862,82,goal
1175,44605,40,goal
1175,44788,89,goal
1176,55350,1,goal
1176,51377,19,owngoal
1176,44693,37,goal
1176,44788,39,goal
1176,44605,65,goal
1176,44788,85,goal
1179,44100,2,goal
1179,47007,83,goal
1179,174862,94,goal
1185,54212,14,goal
1185,44733,18,goal
1185,44609,23,goal
1185,54212,40,goal
1185,54212,51,goal
1185,44609,54,goal
1185,56123,83,goal
1185,174559,87,goal
1186,55964,15,owngoal
1186,63846,21,goal
1186,63847,31,goal
1186,63847,55,goal
1186,45005,57,goal
1186,63844,67,goal
1186,51194,71,goal
1186,63843,1,yellow
1187,45005,30,goal
1187,63846,65,goal
1187,63850,71,goal
1187,45005,79,goal
1188,69792,3,goal
