country,player_id,player_name,dob,position
Argentina,60407,Adolfo Zumelzu,05/01/1902,DF
Argentina,47685,Alberto Chividini,23/02/1907,DF
Argentina,57749,Alejandro Scopelli,12/05/1908,FW
Argentina,46826,Angel Bossio,05/05/1905,GK
Argentina,44040,Atilio Demaria,19/03/1909,FW
Argentina,174854,Carlos Peucelle,13/09/1908,FW
Argentina,58320,Carlos Spadaro,05/02/1902,FW
Argentina,69370,Edmundo Piaggio,03/10/1910,MF
Argentina,55993,Fernando Paternoster,24/05/1903,DF
Argentina,44726,Francisco Varallo,05/02/1910,FW
Argentina,61693,Guillermo Stabile,17/01/1906,FW
Argentina,48403,Jose Della Torre,23/03/1906,DF
Argentina,46831,Juan Botasso,23/10/1908,GK
Argentina,49178,Juan Evaristo,20/06/1902,MF
Argentina,174777,Luis Monti,15/05/1901,MF
Argentina,49376,Manuel Ferreira,22/10/1905,FW
Argentina,49179,Mario Evaristo,10/12/1908,FW
Argentina,56144,Natalio Perinetti,28/12/1900,FW
Argentina,58521,Pedro Suarez,21/12/1909,MF
Argentina,54812,Ramon Muttis,12/03/1899,DF
Argentina,49942,Roberto Cerro,23/02/1907,FW
Argentina,55634,Rodolfo Orlandini,01/01/1905,DF
Belgium,69429,Alexis Chantraine,16/03/1901,MF
Belgium,57303,Andre Saeys,20/02/1911,FW
Belgium,46045,Arnold Badjou,25/06/1909,GK
Belgium,50795,Auguste Hellemans,14/09/1907,MF
Belgium,59711,Bernard Voorhoof,11/05/1910,FW
Belgium,44993,Fernand Adams,03/05/1903,FW
Belgium,48378,Gerard Delbeke,01/09/1903,FW
Belgium,48350,Henri De Deken,03/08/1907,DF
Belgium,54336,Jacques Moeschal,06/09/1900,FW
Belgium,48550,Jan Diddens,14/09/1906,MF
Belgium,182215,Jean De Bie,18/05/1892,GK
Belgium,48290,Jean De Clerq,17/05/1905,MF
Belgium,59575,Louis Versyp,05/12/1908,FW
Belgium,51046,Nikolaas Hoydonckx,29/12/1900,DF
Belgium,69427,Pierre Braine,26/10/1900,MF
Belgium,55277,Theodore Nouwens,17/02/1908,DF
Bolivia,47563,Casiano Chavarria,03/08/1901,DF
Bolivia,52741,Diogenes Lara,06/04/1903,MF
Bolivia,55659,Eduardo Reyes Ortiz,01/01/1907,FW
Bolivia,50043,Gumercindo Gomez,01/01/1907,FW
Bolivia,46508,Jesus Bermudez,01/01/1902,GK
Bolivia,45770,Jorge Argote,01/01/1906,MF
Bolivia,59327,Jorge Balderrama,12/12/1906,MF
Bolivia,47093,Jose Bustamante,01/01/1907,FW
Bolivia,69392,Jose Noya,,FW
Bolivia,69396,Luis Reyes Penaranda,,DF
Bolivia,45355,Mario Alborta,19/09/1910,FW
Bolivia,69391,Miguel Brito,,MF
Bolivia,69395,Miguel Murillo,,GK
Bolivia,54090,Rafael Mendez,01/01/1904,FW
Bolivia,57350,Renato Sainz,14/12/1899,MF
Bolivia,49356,Rene Fernandez,01/01/1906,FW
Bolivia,48795,Segundo Durandal,17/03/1907,DF
Brazil,69382,Araken,17/07/1905,FW
Brazil,54113,Benedicto,10/05/1910,FW
Brazil,69385,Benvenutto,08/08/1903,MF
Brazil,69380,Brilhante,05/11/1904,DF
Brazil,52919,Carvalho Leite,25/06/1912,FW
Brazil,69386,Doca,07/03/1903,FW
Brazil,213736,Fausto,28/01/1905,MF
Brazil,49982,Fernando Giudicelli,01/03/1906,MF
Brazil,69388,Fortes,09/09/1901,MF
Brazil,49521,Hermogenes,04/11/1908,MF
Brazil,49890,Italia,22/05/1907,DF
Brazil,182216,Ivan Mariz,16/05/1910,MF
Brazil,54443,Joel,01/05/1904,GK
Brazil,69390,Manoelzinho,22/08/1907,FW
Brazil,59994,Moderato,14/07/1902,FW
Brazil,63824,Nilo,03/04/1903,FW
Brazil,48009,Oscarino,17/01/1907,MF
Brazil,69387,Pamplona,24/03/1904,MF
Brazil,56861,Poly,26/01/1909,FW
Brazil,63823,Preguinho,08/02/1905,FW
Brazil,63822,Russinho,18/12/1902,FW
Brazil,56107,Teophilo,11/04/1900,FW
Brazil,63820,Velloso,25/09/1908,GK
Brazil,63821,Ze Luis,16/11/1904,DF
Chile,69374,Arturo Coddou,,FW
Chile,59059,Arturo Torres,20/10/1906,MF
